Qual o município está localizado?,"Qual é o porte do produtor? (Pequeno, Médio, Grande)",Quais culturas você planta?,Qual cultura está sendo atacada?,Qual mês do ano estamos?,Quais sintomas você está observando nas plantas?,Qual a extensão do dano observado?,Há presença de insetos ou larvas visíveis nas plantas?,Você notou alterações no crescimento ou desenvolvimento das plantas?,Houve mudanças recentes nas condições do solo ou do clima?,DIAGNÓSTICO
Uiramutã,Pequeno,"Algodão, Soja",Algodão,Agosto,"Folhas enroladas, pontos pretos nas folhas",Moderado,Não,Sim,Não,Pragas Foliares e do Grão
Boa Vista,Médio,"Milho, Soja",Soja,Setembro,"Folhas enroladas, caules secos",Moderado,Sim,Sim,Seca prolongada,Pragas de Solo e Colmo
Caroebe,Pequeno,"Feijão, Mandioca",Mandioca,Outubro,"Folhas murchas, raízes danificadas",Extenso,Não,Não,Sim,Pragas do Solo
Cantá,Grande,"Algodão, Milho",Algodão,Novembro,Manchas pretas nas folhas,Leve,Sim,Sim,Não,Pragas de Folha e Fruto
Pacaraima,Pequeno,"Café, Milho",Café,Dezembro,"Crescimento lento, folhas amareladas",Moderado,Não,Não,Seca prolongada,Pragas Foliares e do Grão
Mucajaí,Médio,"Milho, Soja",Milho,Janeiro,"Folhas comidas, presença de larvas",Extenso,Sim,Não,Seca prolongada,Lagartas
Rorainópolis,Pequeno,"Feijão, Arroz",Feijão,Fevereiro,"Plantas murchas, raízes podres",Moderado,Não,Sim,Sim,Pragas de Raiz e Solo
Alto Alegre,Grande,"Milho, Soja",Soja,Março,"Folhas com manchas, frutos deformados",Extenso,Sim,Não,Seca prolongada,Pragas de Folhas e Frutos
Caracaraí,Médio,"Soja, Algodão",Algodão,Abril,"Folhas perfuradas, caules fracos",Leve,Sim,Não,Sim,Pragas de Folha e Fruto
Normandia,Pequeno,"Milho, Café",Milho,Maio,Manchas amareladas nas folhas,Moderado,Não,Sim,Não,Brocas e Insetos de Colmo
Uiramutã,Grande,"Soja, Mandioca",Mandioca,Junho,"Plantas murchas, raízes enfraquecidas",Extenso,Sim,Não,Seca prolongada,Pragas do Solo
Boa Vista,Pequeno,"Feijão, Algodão",Algodão,Julho,"Folhas enroladas, pontos pretos nas folhas",Moderado,Sim,Sim,Sim,Pragas de Folhas e Frutos
Cantá,Médio,"Hortaliças, Soja",Soja,Agosto,"Manchas nas folhas, crescimento lento",Leve,Não,Sim,Seca prolongada,Pragas de Folha e Fruto
Bonfim,Grande,"Milho, Feijão",Milho,Setembro,"Folhas comidas, presença de larvas",Moderado,Sim,Não,Não,Pragas de Solo e Colmo
São João da Baliza,Pequeno,"Café, Mandioca",Café,Outubro,"Folhas secas, crescimento retardado",Extenso,Não,Sim,Chuvas intensas,Pragas Foliares e do Grão
Caroebe,Médio,"Feijão, Milho",Feijão,Novembro,"Folhas amareladas, plantas murchas",Extenso,Sim,Não,Não,Pragas de Raiz e Solo
Rorainópolis,Pequeno,"Milho, Algodão",Algodão,Dezembro,"Caules quebradiços, manchas marrons nas folhas",Moderado,Sim,Sim,Seca prolongada,Lagartas
Alto Alegre,Grande,"Soja, Feijão",Soja,Janeiro,"Folhas comidas, presença de larvas",Moderado,Sim,Não,Não,Pragas de Solo
Amajari,Médio,"Milho, Soja",Milho,Fevereiro,"Manchas escuras nas folhas, crescimento lento",Extenso,Não,Sim,Sim,Pragas Foliares e do Grão
Mucajaí,Pequeno,"Feijão, Mandioca",Feijão,Março,"Folhas enroladas, presença de larvas",Extenso,Sim,Não,Seca prolongada,Brocas e Pragas dos Frutos
Iracema,Médio,"Milho, Algodão",Algodão,Abril,"Caules enfraquecidos, folhas comidas",Leve,Sim,Não,Seca prolongada,Pragas de Solo
Boa Vista,Pequeno,"Hortaliças, Milho",Hortaliças,Maio,"Manchas brancas, plantas descoloridas",Moderado,Sim,Não,Não,Pragas de Folhas e Frutos
Pacaraima,Grande,"Café, Algodão",Café,Junho,"Folhas secas, crescimento retardado",Extenso,Não,Sim,Sim,Pragas de Folha e Fruto
Rorainópolis,Médio,"Soja, Milho",Soja,Julho,"Folhas comidas, caules quebradiços",Extenso,Sim,Não,Não,Brocas e Pragas do Tronco
